,venue
4260,european symposium on programming
4261,"systems, man and cybernetics"
4262,Journal of Fourier Analysis and Applications
4263,ACM Transactions on Design Automation of Electronic Systems
4264,applications of natural language to data bases
4265,spec international performance evaluation workshop
4266,Language and Speech
4267,european workshop on multi-agent systems
4268,Computer Science - Research and Development
4269,Journal of Insect Behavior
4270,generative programming and component engineering
4271,Information Technology for Development
4272,Journal of Physics: Conference Series
4273,network computing and applications
4274,Control Engineering Practice
4275,International Journal of Business Data Communications and Networking
4276,smart card research and advanced application conference
4277,Journal of Modern Optics
4278,Graphs and Combinatorics
4279,embedded and real-time computing systems and applications
4280,advances in modal logic
4281,Revista Espanola De Cardiologia
4282,australasian user interface conference
4283,arXiv: Adaptation and Self-Organizing Systems
4284,Journal of Mathematics and Music
4285,ACM Sigarch Computer Architecture News
4286,Strojniski Vestnik-journal of Mechanical Engineering
4287,Bulletin of The Korean Mathematical Society
4288,international workshop on fuzzy logic and applications
4289,international conference on artificial intelligence and soft computing
4290,arXiv: Atomic Physics
4291,Chimia
4292,international conference on computer graphics and interactive techniques
4293,workshop on algorithms in bioinformatics
4294,Journal of Enterprise Information Management
4295,Iet Circuits Devices & Systems
4296,Communications in Algebra
4297,modelling computation and optimization in information systems and management sciences
4298,Journal of Computational Mathematics
4299,"Ieej Transactions on Electronics, Information and Systems"
4300,Sensors and Actuators B-chemical
4301,Synthesis Lectures on Artificial Intelligence and Machine Learning
4302,emerging technologies and factory automation
4303,IEEE Electron Device Letters
4304,Journal of Differential Equations
4305,IEEE Micro
4306,Oclc Systems & Services
4307,Expert Systems With Applications
4308,Networks
4309,Clinical Neurophysiology
4310,arXiv: Logic
4311,quality in databases
4312,international conference on enterprise information systems
4313,Journal of Visual Languages and Computing
4314,probabilistic graphical models
4315,Chaos Solitons & Fractals
4316,Journal of Systems Engineering and Electronics
4317,data mining and optimization
4318,Synthesis Lectures on Communications
4319,formal methods in computer-aided design
4320,Future Internet
4321,Progress in Artificial Intelligence
4322,Scientific Annals of Cuza University
4323,Journal of Complexity
4324,standardization and innovation in information technology
4325,IEEE Transactions on Control of Network Systems
4326,International Journal of Information Technology and Web Engineering
4327,International Journal of It Standards and Standardization Research
4328,Communications of The Ais
4329,Proteomics
4330,real time systems symposium
4331,symposium on application specific processors
4332,Crelle's Journal
4333,Künstliche Intelligenz
4334,Journal of Algebraic Combinatorics
4335,Journal of Digital Information Management
4336,ACM Sigmicro Newsletter
4337,Probability in the Engineering and Informational Sciences
4338,International Journal of Wireless and Mobile Computing
4339,Applied Artificial Intelligence
4340,Experiments in Fluids
4341,privacy enhancing technologies
4342,information security solutions europe
4343,Journal of Logic and Analysis
4344,Journal of Geographic Information System
4345,Energy Policy
4346,The Electronic Library
4347,ACM Journal on Computing and Cultural Heritage
4348,Annales De L Institut Henri Poincare-probabilites Et Statistiques
4349,IEEE Transactions on Robotics and Automation
4350,Econometrica
4351,International Journal of Semantic Computing
4352,Soft Computing
4353,variability modelling of software-intensive systems
4354,Mathematical Problems in Engineering
4355,international conference on electrical engineering and informatics
4356,"International Journal of Granular Computing, Rough Sets and Intelligent Systems"
4357,International Journal of Information Processing and Management
4358,new interfaces for musical expression
4359,Sigact News
4360,Disability and Rehabilitation: Assistive Technology
4361,Physics of Life Reviews
4362,explanation aware computing
4363,"Synthesis Lectures on Engineers, Technology and Society"
4364,Algebra Universalis
4365,Journal of Cheminformatics
4366,The Journal of Pain
4367,International Journal of Intercultural Information Management
4368,international symposium on mixed and augmented reality
4369,International Journal of E-business Research
4370,Ssrn Electronic Journal
4371,Archive for Mathematical Logic
4372,IEEE Computer Graphics and Applications
4373,computer science and information engineering
4374,Euromicro Newsletter
4375,Analytical Chemistry
4376,Journal of Global Optimization
4377,International Journal of Computational Intelligence Systems
4378,EPL
4379,International Journal of Computing Science and Mathematics
4380,International Journal of Pervasive Computing and Communications
4381,Geometric and Functional Analysis
4382,"ACM Transactions on Multimedia Computing, Communications, and Applications"
4383,international conference on pervasive services
4384,Statistics and Computing
4385,Journal of Fluid Mechanics
4386,ACM Transactions on Computer Systems
4387,international conference on systems and networks communications
4388,ACM Sigda Newsletter
4389,Iie Transactions
4390,Datenbank-spektrum
4391,international conference on cluster computing
4392,networked systems design and implementation
4393,reconfigurable communication centric systems on chip
4394,computational color imaging workshop
4395,electronic commerce and web technologies
4396,ACM Sigoa Newsletter
4397,non-photorealistic animation and rendering
4398,international conference on computer safety reliability and security
4399,software engineering artificial intelligence networking and parallel distributed computing
4400,asia pacific services computing conference
4401,international conference on human-computer interaction
4402,international conference on ehealth telemedicine and social medicine
4403,SIAM Journal on Discrete Mathematics
4404,Vehicular Communications
4405,Iee Proceedings-software
4406,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences"
